TargetName,Hair|001|Geometric.Segment,Hair|002|Geometric.Segment,Hair|003|CD10+,Hair|004|Geometric.Segment,Hair|005|Geometric.Segment,Hair|006|Geometric.Segment,Hair|007|CD10+,Hair|008|Geometric.Segment,Hair|009|Geometric.Segment,Hair|010|Geometric.Segment,Hair|011|Geometric.Segment,Hair|012|Geometric.Segment,Hair|013|Geometric.Segment,Hair|014|Geometric.Segment,Hair|015|Geometric.Segment,Hair|016|Geometric.Segment,Hair|017|CD10+,Hair|018|Geometric.Segment,Hair|019|Geometric.Segment,Hair|020|Geometric.Segment,Hair|021|Geometric.Segment,Hair|022|Geometric.Segment,Hair|023|Geometric.Segment,Nail 1|001|Geometric.Segment,Nail 1|002|Geometric.Segment,Nail 1|003|Geometric.Segment,Nail 1|004|Geometric.Segment,Nail 1|005|Geometric.Segment,Nail 1|006|Geometric.Segment,Nail 1|007|Geometric.Segment,Nail 1|008|Geometric.Segment,Nail 1|009|Geometric.Segment,Nail 1|010|Geometric.Segment,Nail 1|011|Geometric.Segment,Nail 1|012|Geometric.Segment,Nail 1|013|Geometric.Segment,Nail 2|001|Geometric.Segment,Nail 2|002|Geometric.Segment,Nail 2|003|Geometric.Segment,Nail 2|004|Geometric.Segment,Nail 2|005|Geometric.Segment,Nail 2|006|Geometric.Segment,Nail 2|007|Geometric.Segment,Nail 2|008|Geometric.Segment,Nail 2|009|Geometric.Segment,Nail 2|010|Geometric.Segment,Nail 2|011|Geometric.Segment,Nail 2|012|Geometric.Segment,Nail 2|013|Geometric.Segment,Nail 2|014|Geometric.Segment,Nail 2|015|Geometric.Segment,Nail 2|016|Geometric.Segment,Nail 2|017|Geometric.Segment,Nail 2|018|Geometric.Segment,Nail 2|019|Geometric.Segment,Nail 2|020|Geometric.Segment,Nail 2|021|Geometric.Segment
A1BG,7,2,3,20,1,3,11,16,2,4,4,14,27,8,14,18,1,1,34,34,19,24,34,12,6,7,9,9,1,8,7,3,14,18,17,7,8,13,9,19,16,12,16,17,7,25,21,32,1,29,13,31,25,14,37,8,56
A1CF,2,2,6,14,9,1,17,21,4,3,1,8,33,10,24,19,6,2,31,32,23,29,66,8,12,1,12,7,3,5,7,8,20,15,24,7,13,19,7,18,20,20,20,29,12,29,34,30,1,49,23,42,29,20,26,13,57
A2M,25,9,78,11,55,27,112,11,28,4,46,11,31,11,27,11,44,17,69,84,25,17,74,16,23,16,8,102,20,72,181,13,183,19,22,143,14,35,19,16,28,23,54,96,42,130,128,78,2,32,20,140,112,62,40,76,75
A2ML1,8,1,8,27,9,2,18,22,9,6,1,4,44,18,61,27,6,2,54,71,210,144,85,27,38,27,23,6,4,5,16,52,13,473,239,17,27,197,263,273,695,810,29,31,9,48,34,67,1,44,21,41,34,25,432,17,531
A3GALT2,4,1,9,8,2,1,7,5,3,2,1,6,16,6,14,4,5,1,29,30,15,23,36,4,9,3,5,8,5,4,7,8,11,12,23,5,9,16,12,13,18,14,9,22,10,28,22,17,1,26,18,31,29,15,20,6,54
A4GALT,6,4,12,22,7,2,16,14,6,3,1,5,35,11,30,20,5,2,40,51,26,36,50,11,10,23,4,27,4,17,34,20,21,32,24,6,18,23,9,39,39,18,22,39,13,37,35,46,1,61,34,37,46,16,43,21,64
A4GNT,6,1,6,16,1,1,14,10,1,3,5,10,35,2,22,9,6,1,30,36,21,31,49,9,7,9,12,14,1,13,5,4,9,20,23,4,5,24,13,18,18,17,16,18,5,25,22,22,1,35,19,21,24,12,34,8,40
AAAS,4,3,8,53,23,7,13,43,5,11,9,25,60,22,80,38,7,3,38,38,34,52,40,25,28,18,17,17,5,10,11,15,25,46,50,14,35,46,19,52,47,30,14,26,20,34,27,322,1,49,37,45,34,11,90,16,192
AACS,5,1,15,69,7,4,11,56,13,6,1,20,84,36,52,60,3,2,48,59,69,77,44,24,23,19,12,23,1,12,17,30,22,96,38,13,37,72,33,107,73,60,24,35,16,41,24,30,1,99,44,37,39,23,136,16,414
AADAC,5,1,7,17,6,1,5,15,1,4,2,6,21,13,35,17,1,2,38,50,55,41,52,3,22,7,5,12,2,6,11,6,19,19,24,7,10,38,21,36,59,29,9,21,5,39,30,31,2,25,19,32,32,18,93,14,212
AADACL2,2,1,7,14,5,1,8,12,7,4,2,10,32,11,31,8,4,1,35,43,36,51,40,8,16,6,15,3,2,7,4,7,14,44,29,4,10,23,27,19,54,43,16,16,5,42,31,39,1,28,18,26,31,17,126,13,255
AADACL3,7,1,4,25,6,1,8,19,7,2,3,9,40,12,28,21,2,1,45,45,20,35,36,6,14,13,5,6,4,5,7,9,15,25,25,9,7,20,11,24,22,26,15,22,9,30,35,31,1,25,23,39,34,12,40,8,87
AADACL4,5,2,10,28,3,3,16,19,2,7,3,8,40,7,23,19,4,1,29,29,29,32,58,5,7,1,5,11,2,4,7,5,8,17,17,6,8,23,13,22,14,17,14,28,13,29,32,22,1,41,17,28,24,18,31,14,66
AADAT,10,3,7,22,14,2,12,13,10,14,9,11,23,10,18,8,2,1,32,34,13,12,49,7,8,8,6,12,5,7,10,5,13,14,14,11,8,20,11,16,16,22,19,20,5,27,29,18,1,36,11,28,43,16,20,8,52
AAGAB,12,3,6,67,11,6,14,50,10,4,10,32,74,37,46,61,5,1,41,59,48,37,59,25,21,33,17,14,6,19,16,16,16,76,32,12,35,57,27,99,65,61,31,29,17,34,31,38,1,68,35,49,40,31,102,18,250
AAK1,6,2,10,33,13,3,17,40,10,8,4,21,44,12,43,41,8,1,42,40,29,45,47,15,15,26,24,15,6,8,12,12,20,59,38,11,27,43,20,74,38,32,24,20,6,44,24,37,1,49,40,49,32,19,102,24,197
AAMDC,5,1,3,26,10,4,14,19,7,6,4,9,41,8,46,24,7,1,39,51,26,38,37,13,11,4,10,9,5,8,8,15,20,38,28,10,15,37,15,38,25,16,26,22,9,31,22,33,1,35,24,37,38,23,74,15,125
AAMP,15,4,17,84,13,9,21,91,11,8,10,37,77,33,68,88,10,2,45,43,56,64,47,42,18,32,14,22,9,19,31,42,34,89,41,22,55,89,46,107,81,61,24,34,18,37,25,45,1,69,36,41,43,21,168,32,373
AANAT,4,3,16,29,5,5,19,34,12,7,6,14,46,13,28,37,4,1,48,32,34,39,56,9,14,7,6,12,4,14,10,4,16,28,25,12,22,32,11,40,30,19,36,30,19,33,32,33,1,39,24,46,27,22,48,17,77
AAR2,12,4,2,52,9,2,12,39,14,6,5,33,68,22,33,44,4,3,32,37,36,32,49,20,22,16,14,11,1,10,19,12,28,59,46,12,37,53,12,72,43,38,12,35,15,38,24,40,1,48,29,47,40,28,84,12,189
AARD,7,1,5,17,9,2,7,9,4,8,4,6,29,11,22,17,1,1,45,36,26,25,39,5,9,5,3,10,1,8,9,6,10,20,14,5,12,19,8,16,29,12,12,18,6,29,22,29,1,25,19,34,28,9,39,7,49
AARS1,21,6,16,123,25,5,21,109,23,12,8,61,87,29,52,120,6,5,42,64,61,58,76,37,25,41,22,26,3,20,23,25,21,69,46,17,54,80,40,113,68,57,24,37,18,46,37,44,1,59,42,49,42,30,122,30,266
AARS2,9,2,12,38,9,5,10,34,9,4,8,23,50,27,34,49,2,1,49,53,39,51,57,18,24,19,15,15,1,8,16,12,19,31,23,14,29,38,17,52,28,29,21,28,23,38,31,36,1,45,25,62,41,27,65,19,152
AARSD1,9,1,8,40,13,8,21,52,9,8,9,19,70,22,54,49,5,1,50,50,29,46,80,15,17,19,14,19,7,10,23,9,30,75,32,14,26,42,18,49,32,36,27,34,16,45,36,61,1,55,25,51,40,25,85,16,135
AASDH,1,1,5,15,6,1,6,13,2,5,4,2,13,6,19,13,4,2,22,33,13,20,22,3,7,3,1,2,1,2,3,5,4,15,16,6,7,9,10,18,11,13,2,13,5,15,18,12,1,31,15,26,7,10,20,5,48
AASDHPPT,13,5,6,60,10,5,21,54,7,9,6,19,59,24,48,45,1,2,37,42,44,41,49,28,15,32,14,20,2,8,17,15,21,59,31,15,40,63,25,62,37,35,25,16,10,27,24,42,1,59,26,38,34,23,82,15,194
AASS,8,2,7,39,12,2,10,21,12,12,6,19,45,12,47,26,7,1,35,32,21,36,48,11,23,14,16,13,6,18,12,7,29,21,26,22,19,34,17,29,31,28,18,30,14,26,28,45,1,40,22,42,43,36,35,13,77
AATF,9,5,11,62,5,4,20,72,8,8,7,24,44,20,42,61,6,1,31,21,49,39,43,16,10,15,14,8,3,9,8,8,11,35,25,7,18,35,20,57,43,20,14,27,10,25,18,25,1,33,18,29,27,13,85,9,130
AATK,1,1,6,4,6,1,10,7,3,4,3,1,22,12,21,8,3,1,29,29,26,22,47,6,11,6,5,8,2,3,10,6,15,19,28,9,13,12,17,22,24,19,14,18,12,43,28,15,1,27,16,24,26,19,26,18,68
